source_id,author_or_org,title,year,doi,url,source_type,license_or_access,evidence_area,allowed_use,caution,date_checked,authors,journal,population,tests_used,app_claim_supported,generalizability_limit,license,notes
S001,U.S. Copyright Office,What is Copyright?,Official government guidance,n/a,https://www.copyright.gov/what-is-copyright/,Government website,Publicly accessible,Copyright boundary,Use principle that copyright protects expression rather than ideas/methods; paraphrase.,Do not treat this as legal advice.,2026-08-06
S002,U.S. Copyright Office,"17 U.S.C. §102(b), Circular 92 Chapter 1",Statute,n/a,https://www.copyright.gov/title17/92chap1.html,Government statute,Publicly accessible,Copyright boundary,Use statutory distinction for product policy.,Legal review still required.,2026-08-06
S003,Creative Commons,About CC Licenses,Official license guidance,n/a,https://creativecommons.org/share-your-work/cclicenses/,License guidance,Varies by license,Licensing,Use to interpret attribution/adaptation requirements.,Verify the exact license on each reused work.,2026-08-06
S004,Creative Commons,CC0 and Public Domain tools,Official license guidance,n/a,https://creativecommons.org/public-domain/,License guidance,CC0/PDM information,Licensing,Prefer CC0/public-domain assets where practical.,Only rights holders can apply CC0 to their own work.,2026-08-06
S005,Concept2,Pace and Watts Calculators,Official technical documentation,n/a,https://www.concept2.com/training/watts-calculator,Manufacturer documentation,Publicly accessible,Erg conversion,Implement formula and cite Concept2.,Do not imply Concept2 endorsement.,2026-08-06
S006,Concept2,PM5 usage and units,Official technical documentation,n/a,https://www.concept2.com/support/monitors/pm5/how-to-use,Manufacturer documentation,Publicly accessible,Erg display,Explain that pace and watts are alternative PM units.,Do not copy page prose.,2026-08-06
S007,Streamlit,st.download_button,Official software documentation,n/a,https://docs.streamlit.io/develop/api-reference/widgets/st.download_button,Software documentation,Publicly accessible,MVP implementation,Use download button for generated workbook.,Check API during implementation.,2026-08-06
S008,FastAPI,Features and data validation,Official software documentation,n/a,https://fastapi.tiangolo.com/features/,Software documentation,Publicly accessible,Future architecture,Use typed validation and OpenAPI in later version.,Not required for first Streamlit build.,2026-08-06
S009,Wang et al.,Effects of tapering on performance in endurance athletes,2023,10.1371/journal.pone.0282838,https://pubmed.ncbi.nlm.nih.gov/37163550/,Systematic review/meta-analysis,Open access CC BY,Tapering,Use findings to set configurable taper ranges and preserve intensity.,Not rowing-specific; individualize.,2026-08-06
S010,Zhong et al.,"Training-Intensity Distribution, Volume, Periodization, and Performance in Elite Rowers",2025,10.1123/ijspp.2024-0433,https://pubmed.ncbi.nlm.nih.gov/40185480/,Rowing systematic review,Free article; verify reuse license,Periodization/TID,Use findings that rowing TID varies seasonally and no single model is clearly superior.,Elite sample and small evidence base; do not copy tables.,2026-08-06
S011,Treff et al.,Eleven-Week Preparation Involving Polarized Intensity Distribution Is Not Superior to Pyramidal Distribution in National Elite Rowers,2017,n/a,https://pubmed.ncbi.nlm.nih.gov/28824440/,Controlled rowing study,Abstract/metadata use,TID,Support configurable rather than dogmatic TID.,Male national-elite sample.,2026-08-06
S012,Ingham et al.,"Determinants of 2,000 m rowing ergometer performance in elite rowers",2002,n/a,https://pubmed.ncbi.nlm.nih.gov/12458367/,Rowing physiology study,Abstract/metadata use,Testing/profile,Support 2k as integrated performance test and importance of peak/aerobic factors.,Elite sample; do not reproduce regression model without reviewing full rights and methods.,2026-08-06
S013,Systematic review authors,The Evaluation of Physical Performance in Rowing Ergometer,2025,n/a,https://pubmed.ncbi.nlm.nih.gov/41283544/,Systematic review,Abstract/metadata use,Testing,"Support 2k, incremental tests, peak power, and critical power as common assessment approaches.",Female evidence underrepresented.,2026-08-06
S014,Driller et al.,The effects of high-intensity interval training in well-trained rowers,2009,n/a,https://pubmed.ncbi.nlm.nih.gov/19417232/,Rowing intervention study,Abstract/metadata use,HIIT,Use as evidence that aerobic-power intervals can improve rowing performance.,Do not copy protocol wording; sample is well-trained.,2026-08-06
